nom_entreprise;adresse;ville;telephone;telephone_type;site_web;nom_dirigeant;confiance_dirigeant;taille_estimee;horaires_ouverture;creneaux_non_couverts;plainte_telephonique;citation_plainte_telephone;score;categorie_priorite;raison_commerciale;grappe;secteur
Deal’M;7 Av. du Général de Gaulle, 77600 Bussy-Saint-Georges, France;Lagny-sur-Marne 77400;09 87 46 01 45;fixe;https://www.instagram.com/dealmburger;Mourad Meghni;officielle;TPE;lundi: 11:45 – 22:30 | mardi: 11:45 – 22:30 | mercredi: 11:45 – 22:30 | jeudi: 11:45 – 22:30 | vendredi: 11:45 – 13:30, 14:30 – 23:30 | samedi: 11:45 – 23:30 | dimanche: 18:00 – 22:30;Horaires continus / larges;non;;87;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Fast-food indépendant avec forte satisfaction client et volume de commandes (5 avis très positifs) ; gestion des appels de réservations, commandes à emporter et demandes spéciales nécessite un standard IA 24/7 pour optimiser la conversion et réduire les appels manqués. | Prise de RDV / Réservations (standard surchargé en rush/service) | Gros volume d'avis (580) → fort trafic d'appels | Décideur identifié (Mourad Meghni)";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
Brasserie De Paris;14 Rue Robert Schuman, 77600 Bussy-Saint-Georges, France;Lagny-sur-Marne 77400;01 64 66 76 24;fixe;https://brasseriedeparisbussy.com/;Belaid Adouane;officielle;TPE;lundi: 11:15 – 15:00, 18:30 – 23:00 | mardi: 11:15 – 15:00, 18:30 – 23:00 | mercredi: 11:15 – 15:00, 18:30 – 23:00 | jeudi: 11:15 – 15:00, 18:30 – 23:00 | vendredi: 11:15 – 15:00, 18:30 – 23:00 | samedi: 18:30 – 23:00 | dimanche: Fermé;Fermé dimanche;non;;87;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Brasserie indépendante avec forte activité de réservations et service traiteur ; Qalm AI optimiserait la gestion 24/7 des appels entrants, des réservations de tables et des demandes de devis traiteur, libérant le personnel pour la qualité de service reconnue. | Prise de RDV / Réservations (standard surchargé en rush/service) | Gros volume d'avis (674) → fort trafic d'appels | Décideur identifié (Belaid Adouane) | Créneaux critiques (Fermé dimanche)";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
Chai Saint-Georges;4 Rue de Ferrières, 77600 Bussy-Saint-Georges, France;Lagny-sur-Marne 77400;01 60 36 15 70;fixe;https://chai-saint-georges.fr/;;;TPE;lundi: Fermé | mardi: 12:00 – 14:00 | mercredi: 12:00 – 14:00 | jeudi: 12:00 – 14:00, 19:00 – 21:30 | vendredi: 12:00 – 14:00, 19:00 – 21:30 | samedi: 12:00 – 14:00, 19:00 – 21:30 | dimanche: Fermé;Fermé dimanche;non;;87;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Restaurant gastronomique indépendant avec forte demande de réservations et clientèle premium ; Qalm AI optimiserait la gestion 24/7 des appels entrants et des réservations pour éviter les pertes de clients haut de gamme. | Prise de RDV / Réservations (standard surchargé en rush/service) | Gros volume d'avis (580) → fort trafic d'appels | Créneaux critiques (Fermé dimanche)";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
Les Intouchables;76 Av. de la Société des Nations, 77144 Montévrain, France;Lagny-sur-Marne 77400;07 86 32 40 99;mobile;http://www.les-intouchables.com/;Paul Benjamin Latrasse;officielle;TPE;lundi: Fermé | mardi: 10:00 – 00:00 | mercredi: 10:00 – 00:00 | jeudi: 10:00 – 00:00 | vendredi: 10:00 – 00:00 | samedi: 10:00 – 00:00 | dimanche: Fermé;Fermé dimanche;non;;87;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Restaurant/brasserie indépendant avec forte activité de réservations et accueil clientèle ; Qalm AI optimiserait la gestion 24/7 des appels entrants, des réservations de tables et de la qualification des demandes traiteur/événementiel sans surcharge du personnel. | Prise de RDV / Réservations (standard surchargé en rush/service) | Gros volume d'avis (471) → fort trafic d'appels | Ligne mobile → décideur joignable en direct | Décideur identifié (Paul Benjamin Latrasse) | Créneaux critiques (Fermé dimanche)";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
Bon ga;17 Av. Jacques Cartier, 77600 Bussy-Saint-Georges, France;Lagny-sur-Marne 77400;09 86 24 88 69;fixe;https://bonga.fr/;Eunhyang Oh;officielle;TPE;lundi: 11:30 – 14:30, 18:30 – 21:30 | mardi: 11:30 – 14:30, 18:30 – 21:30 | mercredi: 11:30 – 14:30, 18:30 – 21:30 | jeudi: 11:30 – 14:30, 18:30 – 21:30 | vendredi: 11:30 – 14:30, 18:30 – 21:30 | samedi: 11:30 – 14:30 | dimanche: Fermé;Fermé dimanche;non;;87;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Restaurant coréen indépendant avec forte satisfaction client et flux de réservations/commandes ; Qalm AI optimiserait la gestion des appels de midi (fermeture 14h30) et des réservations pour maximiser le taux de conversion sans surcharge staffing. | Prise de RDV / Réservations (standard surchargé en rush/service) | Volume d'avis solide (270) | Décideur identifié (Eunhyang Oh) | Créneaux critiques (Fermé dimanche)";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
Ô bamboo;8 Av. James de Rothschild, 77164 Ferrières-en-Brie, France;Lagny-sur-Marne 77400;09 53 84 04 11;fixe;http://fb.me/OObamboo77;Lazare Bocabeille;officielle;petite PME (probable);lundi: Fermé | mardi: 12:00 – 14:30, 19:00 – 22:00 | mercredi: 12:00 – 14:30, 19:00 – 22:00 | jeudi: 12:00 – 14:30, 19:00 – 22:00 | vendredi: 12:00 – 14:30, 19:00 – 22:30 | samedi: 12:00 – 14:30, 19:00 – 22:30 | dimanche: Fermé;Fermé dimanche;non;;87;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Restaurant indépendant avec forte affluence et pics de réservation (mentionnés dans les avis) ; Qalm AI optimiserait la gestion des appels entrants, des réservations et des demandes de tables pendant les périodes chargées, libérant l'équipe pour le service client en salle. | Prise de RDV / Réservations (standard surchargé en rush/service) | Gros volume d'avis (674) → fort trafic d'appels | Décideur identifié (Lazare Bocabeille) | PME structurée (petite PME (probable)) → budget solvable | Créneaux critiques (Fermé dimanche)";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
Beef Club & Steakhouse;Pl. Gérard Willaume, 77600 Chanteloup-en-Brie, France;Lagny-sur-Marne 77400;01 85 36 00 02;fixe;https://www.hotel-dali.fr/restaurant-beef-club/;;;PME+;lundi: Fermé | mardi: 18:00 – 22:00 | mercredi: 18:00 – 22:00 | jeudi: 18:00 – 22:00 | vendredi: 18:00 – 23:00 | samedi: 18:00 – 23:00 | dimanche: Fermé;Fermé dimanche;non;;87;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Restaurant indépendant avec flux de réservations et appels clients réguliers ; gestion 24/7 des appels entrants, qualification des demandes et prise de réservations critiques pour optimiser le taux de conversion et réduire les appels manqués, particulièrement pertinent face aux avis mitigés sur la qualité du service. | Prise de RDV / Réservations (standard surchargé en rush/service) | Gros volume d'avis (1151) → fort trafic d'appels | PME structurée (50-99) → budget solvable | Créneaux critiques (Fermé dimanche)";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
Étoile du Liban Montevrain;72 Av. de la Société des Nations, 77144 Montévrain, France;Lagny-sur-Marne 77400;01 60 04 59 78;fixe;http://www.etoileduliban-montevrain.com/;Rabih Ibrahim;officielle;TPE;lundi: 12:00 – 14:15, 18:30 – 22:15 | mardi: 12:00 – 14:15, 18:30 – 22:15 | mercredi: 12:00 – 14:15, 18:30 – 22:15 | jeudi: 12:00 – 14:15, 18:30 – 22:15 | vendredi: 12:00 – 14:15, 18:30 – 22:15 | samedi: 12:00 – 14:15, 18:30 – 22:15 | dimanche: Fermé;Fermé dimanche;non;;87;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Restaurant indépendant avec forte activité de réservations et gestion multi-services (restaurant, traiteur, salle de sport, golf, bowling) ; besoin de standard IA 24/7 pour qualifier les demandes et gérer les pics d'appels sans surcharge administrative. | Prise de RDV / Réservations (standard surchargé en rush/service) | Gros volume d'avis (699) → fort trafic d'appels | Décideur identifié (Rabih Ibrahim) | Créneaux critiques (Fermé dimanche)";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
Le Restaurant du Cheval Blanc;2 Rue de Lagny, 77600 Jossigny, France;Lagny-sur-Marne 77400;01 64 02 24 27;fixe;https://chevalblanchotel.com/fr/le-restaurant/;Anne-marie Therese Loeb (brugger);officielle;petite PME;lundi: 12:00 – 14:00 | mardi: 12:00 – 14:00, 19:00 – 22:00 | mercredi: 12:00 – 14:00, 19:00 – 22:00 | jeudi: 12:00 – 14:00, 19:00 – 22:00 | vendredi: 12:00 – 14:00, 19:00 – 22:00 | samedi: 19:00 – 22:00 | dimanche: Fermé;Fermé dimanche;non;;87;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Restaurant indépendant avec activités multiples (restaurant, hôtel, événementiel) générant un flux de réservations et appels importants ; Qalm AI optimiserait la gestion 24/7 des demandes de réservation et qualification des événements professionnels mentionnés. | Prise de RDV / Réservations (standard surchargé en rush/service) | Gros volume d'avis (545) → fort trafic d'appels | Décideur identifié (Anne-marie Therese Loeb (brugger)) | PME structurée (20-49) → budget solvable | Créneaux critiques (Fermé dimanche)";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
L'Authentic;5 Pl. de Toscane, 77700 Serris, France;Lagny-sur-Marne 77400;01 85 15 27 71;fixe;http://www.lauthentic.net/;Adrien Frederic Vincent Del Pozo;officielle;petite PME;lundi: 12:00 – 15:30, 17:30 – 00:00 | mardi: 12:00 – 15:30, 17:30 – 00:00 | mercredi: 12:00 – 15:30, 17:30 – 00:00 | jeudi: 12:00 – 15:30, 17:30 – 00:00 | vendredi: 12:00 – 15:30, 17:30 – 00:00 | samedi: 12:00 – 00:00 | dimanche: 12:00 – 00:00;Horaires continus / larges;non;;87;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Restaurant indépendant avec forte activité (5 avis très positifs, mentions de réservations et anniversaires) situé en zone commerciale ; Qalm AI optimiserait la gestion 24/7 des appels de réservation, des demandes de groupe et du traiteur sans surcharge du personnel. | Prise de RDV / Réservations (standard surchargé en rush/service) | Gros volume d'avis (2601) → fort trafic d'appels | Décideur identifié (Adrien Frederic Vincent Del Pozo) | PME structurée (10-19) → budget solvable";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
L'Emphase;21 Rue d'Ariane, 77700 Chessy, France;Lagny-sur-Marne 77400;01 60 43 10 11;fixe;https://www.lemphase.com/;Fabien Nicolas Calbou;officielle;TPE;lundi: 11:30 – 14:30, 18:00 – 23:00 | mardi: 11:30 – 14:30, 18:00 – 23:00 | mercredi: 11:30 – 14:30, 18:00 – 23:00 | jeudi: 11:30 – 14:30, 18:00 – 23:00 | vendredi: 11:30 – 14:30, 18:00 – 23:30 | samedi: 12:00 – 15:00, 18:00 – 23:30 | dimanche: 12:00 – 15:00, 18:00 – 23:00;Horaires continus / larges;non;;87;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Restaurant indépendant avec forte clientèle de passage (5 avis très positifs, clients récurrents) situé en zone touristique (Chessy) ; gestion optimale des réservations et appels de dernière minute (clients sans RDV accueillis) justifie un standard IA 24/7 pour ne pas perdre de commandes. | Prise de RDV / Réservations (standard surchargé en rush/service) | Gros volume d'avis (1046) → fort trafic d'appels | Décideur identifié (Fabien Nicolas Calbou)";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
Un des Sens;6 bis Bd Robert Thiboust, 77700 Serris, France;Lagny-sur-Marne 77400;09 75 20 65 38;fixe;http://undessens-restaurant.com/;;;petite PME;lundi: Fermé | mardi: 12:00 – 14:30, 19:00 – 22:00 | mercredi: 12:00 – 14:30, 19:00 – 22:00 | jeudi: 12:00 – 14:30, 19:00 – 22:00 | vendredi: 12:00 – 14:30, 19:00 – 22:30 | samedi: 12:00 – 14:30, 19:00 – 22:30 | dimanche: Fermé;Fermé dimanche;non;;87;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Restaurant indépendant avec flux de réservations et appels réguliers ; gestion 24/7 des appels entrants et qualification des demandes critiques pour optimiser le service et réduire les pertes de clients (notamment aux heures de pointe). | Prise de RDV / Réservations (standard surchargé en rush/service) | Gros volume d'avis (979) → fort trafic d'appels | PME structurée (10-19) → budget solvable | Créneaux critiques (Fermé dimanche)";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
O'PETIT PAVÉ;9 Rte de Meaux, 77700 Serris, France;Lagny-sur-Marne 77400;01 60 43 02 07;fixe;http://www.opetitpave.fr/;Olivier Andre Desroses;officielle;TPE;lundi: 12:00 – 14:00 | mardi: 12:00 – 14:00 | mercredi: 12:00 – 14:00 | jeudi: 12:00 – 14:00, 19:30 – 22:00 | vendredi: 12:00 – 14:00, 19:30 – 22:30 | samedi: 12:00 – 14:00, 19:30 – 22:30 | dimanche: Fermé;Fermé dimanche;non;;87;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Restaurant indépendant haut de gamme avec forte activité événementielle (privatisations, anniversaires) et gestion de réservations ; Qalm AI optimiserait la prise d'appels 24/7 et la qualification des demandes de privatisation pour maximiser le taux de conversion. | Prise de RDV / Réservations (standard surchargé en rush/service) | Gros volume d'avis (342) → fort trafic d'appels | Décideur identifié (Olivier Andre Desroses) | Créneaux critiques (Fermé dimanche)";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
Fémèzon;9 Rue d'Ariane, 77700 Chessy, France;Lagny-sur-Marne 77400;09 70 91 38 64;fixe;https://www.femezon.fr/;Yann Bernard;officielle;TPE;lundi: Fermé | mardi: 12:00 – 14:00, 19:00 – 22:00 | mercredi: 12:00 – 14:00, 19:00 – 22:00 | jeudi: 12:00 – 14:00, 19:00 – 22:00 | vendredi: 12:00 – 14:00, 19:00 – 22:30 | samedi: 19:00 – 22:30 | dimanche: Fermé;Fermé dimanche;non;;87;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Restaurant gastronomique indépendant avec forte réputation (5/5 avis) générant probablement 50+ appels/jour pour réservations et demandes ; Qalm AI optimiserait la gestion 24/7 des réservations et qualification des demandes sans surcharge du personnel. | Prise de RDV / Réservations (standard surchargé en rush/service) | Gros volume d'avis (807) → fort trafic d'appels | Décideur identifié (Yann Bernard) | Créneaux critiques (Fermé dimanche)";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
GOO POPCAFE;5 Rue de la Font Rouge, 77700 Chessy, France;Lagny-sur-Marne 77400;01 61 10 54 99;fixe;https://www.goopopcafe.fr/;Chhuy Denise Hoang (te);officielle;TPE;lundi: Fermé | mardi: 12:00 – 14:30, 18:30 – 22:00 | mercredi: 12:00 – 14:30, 18:30 – 22:00 | jeudi: 12:00 – 14:30, 18:30 – 22:00 | vendredi: 12:00 – 14:30, 18:30 – 22:00 | samedi: 12:00 – 14:30, 18:30 – 22:00 | dimanche: Fermé;Fermé dimanche;non;;87;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Restaurant indépendant avec forte demande de réservations (clients mentionnent explicitement « ne pas hésiter à réserver ») et capacité de paiement confirmée par tarification premium ; Qalm AI optimiserait la gestion 24/7 des appels de réservation et qualification des demandes de groupe/traiteur. | Prise de RDV / Réservations (standard surchargé en rush/service) | Gros volume d'avis (441) → fort trafic d'appels | Décideur identifié (Chhuy Denise Hoang (te)) | Créneaux critiques (Fermé dimanche)";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
